,author,dish,type,inglst,time_prep,time_cook,tags,ingredients,servings,rating_star,rating_num,meta_description
0,Katie Morford,Spring Vegetable Tortellini Soup with Pesto,vegetarian,"['onion', 'carrots', 'broth', 'tortellini', 'variety', 'peas', 'thirds', 'peas', 'woody', 'juice', 'herb', 'pesto']",20,15,"['healthy in a hurry', 'soup', 'freezer-friendly', 'quick and easy', 'healthy', 'vegetarian', 'tortellini']","1 tablespoon extra-virgin olive oil,1 medium onion, chopped,2 cloves garlic, chopped,1 cup sliced carrots,6 cups low-sodium vegetable broth,8 ounces fresh or frozen tortellini, any variety,1 cup snap peas, cut into thirds,1/2 cup fresh or frozen English peas,1 cup 3/4-inch pieces asparagus, woody ends removed,2 tablespoons fresh lemon juice,1 to 2 teaspoons kosher salt,Freshly cracked black pepper,1/3 cup herb pesto, either store-bought or ",4-6 servings,5,2.0,"This tasty tortellini soup is loaded with vegetables like asparagus and peas, and is topped with zesty pesto! It comes together in 35 minutes, start to finish. Use what’s on hand whether it's fresh, frozen, or from the pantry. "
1,Sara Bir,Instant Pot Mushroom Risotto,vegetarian,"['mushrooms', 'onion', 'rice', 'wine', 'miso', 'chicken', 'vegetable', 'parmesan']",10,45,"['family-friendly', 'instant pot', 'vegetarian', 'mushroom', 'risotto']","2 tablespoons extra virgin olive oil,1 pound mushrooms, washed, trimmed, and quartered or sliced,1 medium onion, finely diced,3 cloves garlic, minced,1/4 teaspoon salt or to taste,1/4 teaspoon freshly ground black pepper or to taste,2 cups Arborio or Carnaroli rice,1/2 cup dry white wine,2 teaspoons soy sauce,2 teaspoons miso paste (white or red),3 3/4 to 4 cups low-sodium chicken or vegetable stock, divided,2 tablespoons unsalted butter,1/2 cup finely shredded parmesan cheese, plus more to garnish,1/4 teaspoon lemon zest, optional","4 as a main dish, 6 as a side dish",5,2.0,"Easy weeknight mushroom risotto that’s special enough for occasions, too! The Instant Pot makes it fast, and fail-safe. Plus we have a hack that lets you time your dinner perfectly!"
2,Carrie Havranek,Vegetarian Pad Thai with Tofu,vegetarian,"['rice', 'tamarind', 'cayenne', 'vegetable', 'tofu', 'eggs', 'peanuts', 'sprouts', 'quarters', 'peanuts', 'pepper']",10,12,"['stir-fry', 'thai', 'noodles', 'tofu']","1 (14-ounce) package flat, wide ,2 to 3 teaspoons salt,3/4 cup rice vinegar,1 to 2 teaspoons tamarind , or ,1 cup granulated sugar,Pinch of paprika (or cayenne powder),10 to 12 tablespoons canola or vegetable oil, divided,1 pound tofu, extra firm, drained and cubed,4 large eggs,1/3 cup roasted, unsalted peanuts, chopped roughly,1 cup bean sprouts,1 lime, cut into quarters,2 tablespoons roasted, unsalted peanuts, chopped roughly,Chopped cilantro, for garnish,Red pepper flakes, for garnish",4 servings ,5,1.0,"Pad Thai goes vegetarian! Crispy pan-seared tofu is your protein, and salt takes the place of fish sauce for a vegetarian spin on this favorite takeout dish."
3,Erin Alderson,Buffalo Cauliflower Tacos with Ranch Sauce,vegetarian,"['bite', 'size', 'corn', 'tortillas', 'chives', 'avocado']",10,15,"['quick and easy', 'vegan', 'cauliflower', 'taco']","2 cups cauliflower, chopped into bite-size pieces,2 teaspoons neutral oil,Pinch of sea salt,2 tablespoons ,2 tablespoons ,4 8-inch corn tortillas, warmed,2 teaspoons minced fresh, flat-leaf parsley,2 teaspoons minced fresh chives,1 teaspoon minced fresh dill,1/4 teaspoon garlic powder,Pinch of salt,Pinch of pepper,1/4 cup ,1/2 avocado, diced,1 tablespoon chopped parsley, to garnish",2 servings (2 tacos each),5,1.0,"These Buffalo Cauliflower Tacos are a great meat-free main—all the flavor of buffalo wings, but made with cauliflower! Top these easy tacos with vegan ranch dressing and serve."
4,Sally Vargas,Black Rice Bowls with Tofu and Veggies,vegetarian,"['rice', 'miso', 'honey', 'block', 'tofu', 'spray', 'scallions', 'parts', 'rice', 'rice', 'rice', 'florets', 'cucumbers', 'kale', 'almonds', 'currants']",30,35,"['salad', 'healthy', 'vegan', 'rice', 'tofu']","1 piece (1-inch) fresh ginger, peeled and thinly sliced,1/2 clove garlic, thinly sliced,1/4 cup water,2 tablespoons rice vinegar,2 tablespoons red miso (See recipe note),1 tablespoon low-sodium soy sauce,1 tablespoon honey,1/4 cup olive oil,1 tablespoon toasted sesame oil,1 block (14 ounces) extra-firm tofu,Olive oil spray,3 scallions, white and light green parts, thinly sliced,1 cup black rice or forbidden rice,6 cups water,1 teaspoon salt,1 cup unseasoned rice vinegar,3 teaspoon salt, divided,2 tablespoons sugar,1/2 cup water,1/2 small head of cauliflower, cut into small florets,3 Persian (small) cucumbers,1 tablespoon low-sodium soy sauce,1 teaspoon sesame oil,1 bunch kale (any kind), washed, dried and stems removed,2 tablespoons olive oil,Salt to taste,Toasted almonds, for garnish,Cilantro leaves or Thai basil, for garnish,1/4 cup currants, for garnish",4 to 6 servings,5,1.0,"Infinitely versatile, these Black Rice Bowls with Tofu and Veggies with a miso dressing are SO GOOD! They make a satisfying lunch or dinner for vegans, vegetarians, and carnivores alike. "
5,Elise Bauer,Spicy Vegetarian Chili,vegetarian,"['onions', 'zucchini', 'bell', 'peppers', 'jalapeño', 'peppers', 'check', 'heat', 'jalapeños', 'hands', 'rub', 'eyes', 'plum', 'tomatoes', 'liquid', 'plum', 'tomatoes', 'chili', 'fennel', 'beans', 'kidney', 'beans', 'lemon', 'lemon', 'juice', 'beet', 'coconut', 'version', 'sub', 'aversion']",20,70,"['vegan', 'chili', 'chili beans']","1 1-pound (450g) eggplant, cut into 1-inch cubes,5 tablespoons extra virgin olive oil,2 yellow onions, chopped,3 cloves garlic, minced,2 medium zucchini, chopped,2 large red bell peppers, cored, seeded, diced,1 to 2 jalapeño peppers, seeded, finely minced (Taste and check the heat of the jalapeños. If very hot only use one, if mildly hot, use two. Wash hands with soap and water after handling. Do not rub eyes.),1 28-ounce (794g) can Italian plum tomatoes, coarsely chopped, including liquid (or 2 pounds fresh plum tomatoes, peeled and chopped),1 tablespoon ground cumin,1-2 tablespoons chili powder,2 tablespoons chopped fresh chopped oregano or 2 teaspoons dried,1 teaspoon fennel seeds,1 1/2 cup cooked white beans (1 15-ounce or 425g can), drained and rinsed,1 1/2 cup cooked kidney beans (1 15-ounce or 425g can), drained and rinsed,Zest of one lemon,3 Tbsp lemon juice,1 teaspoon sugar (use raw, beet, or coconut sugar for vegan version),1/3 cup chopped fresh cilantro (can sub parsley if you have an aversion to cilantro),Salt and freshly ground black pepper to taste",Serves 8 to 10,5,24.0,"The BEST Vegetarian Chili! Make it with eggplant, plum tomatoes, onion, garlic, zucchini, bell peppers, jalapeños, white beans, kidney beans, and cilantro. You won't miss the meat!"
6,Carrie Havranek,Valerie Brunmeier’s Cheesy Taco Pasta Skillet,pasta,"['chili', 'onion', 'pepper', 'beef', 'onion', 'flavor', 'fiesta', 'mix', 'chicken', 'broth', 'tomatoes', 'beans', 'mild', 'chiles', 'pasta', 'rotelli', 'corn', 'monterey', 'jack', 'cheese', 'cheddar', 'cheeses', 'olives', 'onions']",5,28,"['cookbooks', 'family-friendly', '1-pot', 'pasta and noodles']","1/4 cup chili powder,2 tablespoons ground cumin,2 teaspoons paprika,2 teaspoons finely ground sea salt,2 teaspoons freshly ground black pepper,1 teaspoon granulated garlic or garlic powder,1 teaspoon onion powder,1 teaspoon dried oregano,1/2 teaspoon red pepper flakes, or to taste (I used a pinch),1 pound lean ground beef,1/2 cup chopped onion,1 teaspoon minced garlic,2 tablespoons Flavor Fiesta Taco Seasoning Mix,2 cups low-sodium chicken broth,1 (14.5 ounce) can diced tomatoes, undrained,1 (8-ounce) can tomato sauce,1 (15.5-ounce) can black beans, drained and rinsed,1 (4-ounce) can mild diced green chiles,8 ounces uncooked short dry pasta like fusilli, rotelli, elbows or penne,1 cup frozen corn,1 cup shredded Monterey Jack cheese, divided,1 cup shredded cheddar cheeses, divided,1/4 cup sliced black olives,1/4 cup chopped cilantro,3 green onions, thinly sliced,Sour cream",6 servings,5,2.0,Tacos and pasta! Why didn't we put these two together before? This one-skillet dish full of Southwestern flavors and pasta comes together in a flash with pantry staples. Your new favorite weeknight go-to!
7,Elise Bauer,"Bowtie Pasta with Peas, Prosciutto, and Arugula",pasta,"['bowtie', 'pasta', 'prosciutto', 'thin', 'peas', 'baby', 'arugula']",15,15,"['dinner', 'favorite spring', 'italian', 'prosciutto']","1/2 pound (8 ounces) farfalle bowtie pasta,3 tablespoons extra virgin olive oil (divided, 1 Tbsp and 2 Tbsp),2 ounces prosciutto, thin slices separated and roughly chopped,1/2 cup fresh or frozen peas,1/2 cup shredded Parmesan cheese,1/2 teaspoon freshly ground black pepper,1 cup reserved pasta water,1 large handful baby arugula (about a cup and a half, packed),2 tablespoons thinly sliced fresh mint leaves",Serves 3 to 4,5,1.0,"A lighter version of bowtie pasta with peas and prosciutto, no cream, but instead tossed with Parmesan, olive oil, and arugula."
8,Elise Bauer,"Shrimp with Olives, Tomatoes, and Orzo",pasta,"['orzo', 'pasta', 'ripe', 'tomatoes', 'tomatoes', 'olives', 'capers', 'caper', 'juice', 'shrimp', 'baby', 'arugula']",10,25,"['dinner', 'lenten', 'quick and easy', 'seafood']","8 ounces orzo pasta,3 tablespoons extra virgin olive oil,3 cloves garlic, minced,1 pound ripe fresh tomatoes (about 4 medium tomatoes), chopped (about 3 cups),1 1/2 cups of chopped ripe black olives,2 tablespoons capers (including caper juice),1/2 teaspoon salt,1/2 teaspoon black pepper,1 pound medium to large raw shrimp, peeled and deveined,1 cup chopped fresh baby arugula (or 1/4 cup chopped fresh parsley)",Serves 4,5,3.0,"This Shrimp Orzo with Olives and Tomatoes is a perfect easy midweek dinner with shrimp, black olives, fresh tomatoes, capers, garlic, arugula, and orzo pasta."
9,Aaron Hutcherson,Chorizo-Stuffed Sweet Potatoes,pork,"['sweet', 'potatoes', 'bell', 'peppers', 'onion', 'chorizo', 'casings']",10,85,"['dinner', 'chorizo', 'sweet potatoes']","4 medium sweet potatoes,2 tablespoons vegetable oil,2 green or red bell peppers, sliced,1 medium yellow onion, sliced,1 1/2 teaspoons kosher salt,1/2 teaspoon chili powder,1 (14-ounce) package fresh chorizo, casings removed,Cotija cheese, for sprinkling, to taste,Chopped cilantro, for sprinkling, to taste",4 servings,,,"Check out these Chorizo-Stuffed Sweet Potatoes! That's right: Russets aren't the only potatoes worth stuffing! Here, we're stuffing roasted sweet potatoes with a mixture of spicy chorizo, tangy cotija cheese, peppers, and onions."
